title,category,genre,language,duration,rating,cast,description,image_url
Oppenheimer,Hollywood,Biography,English,180,9.2,"Cillian Murphy, Emily Blunt","Story of J. Robert Oppenheimer","https://example.com/image1.jpg"
Jawani Phir Nahi Ani,Lollywood,Comedy,Urdu,150,7.8,"Humayun Saeed, Ahmad Ali Butt","Pakistani romantic comedy","https://example.com/image2.jpg"
The Batman,Hollywood,Action,English,176,8.1,"Robert Pattinson, Zoe Kravitz","Dark Knight returns to fight crime in Gotham","https://example.com/image3.jpg"
Spider-Man: No Way Home,Hollywood,Action,English,148,8.7,"Tom Holland, Zendaya","Multi-verse Spider-Man adventure","https://example.com/image4.jpg"
Top Gun: Maverick,Hollywood,Action,English,130,8.3,"Tom Cruise, Miles Teller","Maverick returns as a flight instructor","https://example.com/image5.jpg"
Avengers: Endgame,Hollywood,Action,English,181,8.4,"Robert Downey Jr, Chris Evans","Final battle against Thanos","https://example.com/image6.jpg"
Fast X,Hollywood,Action,English,141,5.8,"Vin Diesel, Michelle Rodriguez","Fast and Furious family continues","https://example.com/image7.jpg"
John Wick: Chapter 4,Hollywood,Action,English,169,7.7,"Keanu Reeves, Donnie Yen","Legendary assassin seeks freedom","https://example.com/image8.jpg"
Avatar: The Way of Water,Hollywood,Sci-Fi,English,192,7.6,"Sam Worthington, Zoe Saldana","Return to Pandora underwater world","https://example.com/image9.jpg"
Black Panther: Wakanda Forever,Hollywood,Action,English,161,6.7,"Angela Bassett, Letitia Wright","Wakanda faces new threats","https://example.com/image10.jpg"
The Super Mario Bros. Movie,Hollywood,Animation,English,92,7.0,"Chris Pratt, Anya Taylor-Joy","Mario and Luigi adventure","https://example.com/image11.jpg"
Scream VI,Hollywood,Horror,English,123,6.5,"Melissa Barrera, Jenna Ortega","Ghostface returns to terrorize","https://example.com/image12.jpg"
Pathaan,Bollywood,Action,Hindi,146,5.5,"Shah Rukh Khan, Deepika Padukone","Spy thriller with high-octane action","https://example.com/image13.jpg"
Jawan,Bollywood,Action,Hindi,169,7.0,"Shah Rukh Khan, Nayanthara","Man seeks justice for his family","https://example.com/image14.jpg"
Dangal,Bollywood,Biography,Hindi,161,8.4,"Aamir Khan, Fatima Sana Shaikh","Father trains daughters for wrestling","https://example.com/image15.jpg"
3 Idiots,Bollywood,Comedy,Hindi,170,8.4,"Aamir Khan, R. Madhavan","Engineering students life journey","https://example.com/image16.jpg"
Baahubali 2,Bollywood,Action,Hindi,167,8.2,"Prabhas, Rana Daggubati","Epic conclusion of Baahubali saga","https://example.com/image17.jpg"
KGF: Chapter 2,Bollywood,Action,Hindi,168,8.4,"Yash, Sanjay Dutt","Rocky's empire expansion story","https://example.com/image18.jpg"
RRR,Bollywood,Action,Hindi,187,7.9,"N.T. Rama Rao Jr., Ram Charan","Pre-independence revolutionary tale","https://example.com/image19.jpg"
Pushpa: The Rise,Bollywood,Action,Hindi,179,7.6,"Allu Arjun, Rashmika Mandanna","Red sandalwood smuggling saga","https://example.com/image20.jpg"
Sooryavanshi,Bollywood,Action,Hindi,145,5.7,"Akshay Kumar, Katrina Kaif","Anti-terrorism squad action","https://example.com/image21.jpg"
83,Bollywood,Biography,Hindi,162,7.5,"Ranveer Singh, Deepika Padukone","India's 1983 Cricket World Cup victory","https://example.com/image22.jpg"
Shershaah,Bollywood,Biography,Hindi,135,8.4,"Sidharth Malhotra, Kiara Advani","Captain Vikram Batra war story","https://example.com/image23.jpg"
Gangubai Kathiawadi,Bollywood,Biography,Hindi,157,7.0,"Alia Bhatt, Ajay Devgn","Story of Gangubai from Kamathipura","https://example.com/image24.jpg"
The Legend of Maula Jatt,Lollywood,Action,Punjabi,153,8.7,"Fawad Khan, Mahira Khan","Epic Punjabi folk tale reimagined","https://example.com/image25.jpg"
Waar,Lollywood,Action,Urdu,130,7.2,"Shaan Shahid, Meesha Shafi","Counter-terrorism thriller","https://example.com/image26.jpg"
Bol,Lollywood,Drama,Urdu,165,8.2,"Humaima Malik, Iman Ali","Social issues and family drama","https://example.com/image27.jpg"
Khuda Kay Liye,Lollywood,Drama,Urdu,168,8.1,"Shaan Shahid, Fawad Khan","Post 9/11 Muslim identity crisis","https://example.com/image28.jpg"
Punjab Nahi Jaungi,Lollywood,Romance,Urdu,151,7.6,"Humayun Saeed, Mehwish Hayat","Love story across cultures","https://example.com/image29.jpg"
Load Wedding,Lollywood,Comedy,Urdu,128,7.8,"Fahad Mustafa, Mehwish Hayat","Dowry system social comedy","https://example.com/image30.jpg"
Cake,Lollywood,Drama,Urdu,119,7.9,"Aamina Sheikh, Sanam Saeed","Family relationships and forgiveness","https://example.com/image31.jpg"
Parwaaz Hai Junoon,Lollywood,Action,Urdu,126,7.4,"Hamza Ali Abbasi, Hania Aamir","Pakistan Air Force tribute","https://example.com/image32.jpg"
Teefa in Trouble,Lollywood,Action,Urdu,155,7.2,"Ali Zafar, Maya Ali","Comedy action romance","https://example.com/image33.jpg"
Superstar,Lollywood,Romance,Urdu,132,6.8,"Mahira Khan, Bilal Ashraf","Actress and her fan love story","https://example.com/image34.jpg"
Parey Hut Love,Lollywood,Romance,Urdu,155,6.4,"Sheheryar Munawar, Maya Ali","Modern love triangle","https://example.com/image35.jpg"
Quaid-e-Azam Zindabad,Lollywood,Action,Urdu,145,6.9,"Fahad Mustafa, Mahira Khan","Corrupt cop redemption story","https://example.com/image36.jpg"
Tich Button,Lollywood,Romance,Urdu,155,7.1,"Farhan Saeed, Sonya Hussyn","Love across borders","https://example.com/image37.jpg"
Money Back Guarantee,Lollywood,Comedy,Urdu,133,6.7,"Fawad Khan, Ali Kazmi","Small town business comedy","https://example.com/image38.jpg"
Kamli,Lollywood,Drama,Urdu,138,7.5,"Saba Qamar, Sania Saeed","Women empowerment story","https://example.com/image39.jpg"
Joyland,Lollywood,Drama,Urdu,126,7.6,"Ali Junejo, Rasti Farooq","LGBTQ+ themes in Pakistani society","https://example.com/image40.jpg"
Dune,Hollywood,Sci-Fi,English,155,8.0,"Timothee Chalamet, Rebecca Ferguson","Desert planet epic adaptation","https://example.com/image41.jpg"
No Time to Die,Hollywood,Action,English,163,7.3,"Daniel Craig, Rami Malek","Bond's final mission","https://example.com/image42.jpg"
Dune: Part Two,Hollywood,Sci-Fi,English,166,8.5,"Timothee Chalamet, Zendaya","Paul Atreides rise to power","https://example.com/image43.jpg"
Barbie,Hollywood,Comedy,English,114,6.9,"Margot Robbie, Ryan Gosling","Pink world adventure","https://example.com/image44.jpg"
Mission: Impossible 7,Hollywood,Action,English,163,7.7,"Tom Cruise, Hayley Atwell","Ethan Hunt impossible mission","https://example.com/image45.jpg"
Guardians of the Galaxy Vol. 3,Hollywood,Action,English,150,8.0,"Chris Pratt, Zoe Saldana","Final Guardians adventure","https://example.com/image46.jpg"
